Date,Open,High,Low,Close,Volume,True Range,20 EMA,BB Upper,BB Mid,BB Lower,MACD,MACD Signal,MACD Histogram
7/10/2000,0.96596,1.040179,0.959821,1.020089,397796000,0.0681,0.7805,0.8796,0.773,0.6674,0.049,0.045,0.004
7/11/2000,1.017857,1.058036,0.989955,1.016741,357896000,0.0577,0.7884,0.8876,0.782,0.6766,0.0446,0.0462,-0.0015
7/12/2000,1.037946,1.052455,1.006696,1.051339,225433600,0.0387,0.7971,0.9018,0.79,0.68,0.0434,0.0469,-0.0035
7/13/2000,1.044643,1.082589,0.977679,1.008929,445659200,0.089,0.8055,0.9023,0.799,0.6966,0.0437,0.0472,-0.0034
7/14/2000,1.020089,1.053571,1.015625,1.030134,190276800,0.0378,0.8111,0.9048,0.808,0.7115,0.0419,0.0471,-0.0051
7/17/2000,1.040179,1.050223,1.020089,1.041295,260002400,0.0254,0.8179,0.9031,0.817,0.7324,0.0427,0.0467,-0.004
7/18/2000,1.044643,1.051339,1.015625,1.022321,318404800,0.0303,0.8243,0.9025,0.824,0.7466,0.0437,0.046,-0.0024
7/19/2000,0.985491,1.014509,0.924107,0.940848,457872800,0.0832,0.8253,0.9005,0.826,0.7517,0.0426,0.0449,-0.0023
7/20/2000,0.982143,1.018973,0.966518,0.984375,465572800,0.0661,0.826,0.8999,0.825,0.7516,0.0407,0.0436,-0.0029
7/21/2000,0.970703,0.993304,0.945313,0.956473,196235200,0.0407,0.8257,0.8998,0.825,0.7513,0.038,0.0424,-0.0043
7/24/2000,0.938616,0.944196,0.848214,0.86942,412171200,0.0917,0.8228,0.9051,0.823,0.7415,0.0341,0.0412,-0.0071
7/25/2000,0.898438,0.904018,0.876116,0.893973,211607200,0.0294,0.817,0.9069,0.82,0.7336,0.0291,0.0396,-0.0105
7/26/2000,0.890067,0.915179,0.879464,0.893973,210470400,0.0303,0.811,0.9085,0.819,0.7294,0.0211,0.0371,-0.016
7/27/2000,0.892857,0.950893,0.890625,0.928571,294985600,0.051,0.8059,0.9077,0.817,0.7266,0.0118,0.0338,-0.0219
7/28/2000,0.933594,0.9375,0.837054,0.862723,237893600,0.0851,0.8045,0.9114,0.814,0.7184,0.0034,0.0294,-0.026
7/31/2000,0.87779,0.921875,0.870536,0.907366,155299200,0.0503,0.7987,0.9118,0.813,0.7156,-0.0045,0.024,-0.0286
8/1/2000,0.898438,0.913504,0.879464,0.88058,137284000,0.0289,0.7952,0.9131,0.81,0.7082,-0.0111,0.0181,-0.0292
8/2/2000,0.875,0.891741,0.842634,0.84375,162355200,0.0416,0.7901,0.9174,0.807,0.6973,-0.0207,0.0113,-0.032
8/3/2000,0.813616,0.858259,0.790179,0.857143,339897600,0.0577,0.7805,0.9197,0.804,0.6893,-0.0323,0.0034,-0.0357
8/4/2000,0.883371,0.915179,0.827009,0.845982,263121600,0.0748,0.7775,0.92,0.799,0.6783,-0.0372,-0.0045,-0.0328
8/7/2000,0.854911,0.876116,0.842634,0.856027,187348000,0.0283,0.7725,0.9131,0.792,0.6712,-0.0432,-0.0125,-0.0307
8/8/2000,0.856027,0.857143,0.827009,0.834821,176674400,0.0256,0.768,0.9063,0.784,0.6626,-0.0485,-0.0202,-0.0282
8/9/2000,0.859375,0.864955,0.84375,0.848214,379640800,0.0256,0.7642,0.8905,0.775,0.6612,-0.0517,-0.0273,-0.0244
8/10/2000,0.857143,0.864955,0.845982,0.84933,251714400,0.016,0.7606,0.8801,0.769,0.6581,-0.0516,-0.0334,-0.0182
8/11/2000,0.836496,0.857143,0.813616,0.851563,238056000,0.0369,0.7557,0.8634,0.761,0.6597,-0.0521,-0.0387,-0.0134
8/14/2000,0.849888,0.851563,0.827009,0.840402,156660000,0.0209,0.7523,0.8404,0.753,0.6656,-0.0522,-0.0433,-0.0089
